Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,OEM Part Number,Duplicate Part Number
"GASKET, FREE END",,,,,,,,,,,,,0,,,00043199 0,
"COVER, FREE END",,,,,,,,,,,,,0,,,00031809 0,
REDUCER 1''x 1/2'' BSP,,,,,,,,,,,,,0,,,02049246 0,
BREATHER ASSY,,,,,,,,,,,,,0,,,A020030,
PACKING RING 3/8'' DRAIN PLUG,,,,,,,,,,,,,0,,,00052186 0,
CONNECTING ROD AND CRANKSHAFT ASSY (02022753 0),,,,,,,,,,,,,0,,,A020427,
CONNECTING ROD WITH BEARING,,,,,,,,,,,,,0,,,02036255 0,
"BUSH, DIA 20 GUDGEND PIN ",,,,,,,,,,,,,0,,,00052311 0,
NEEDIL ROLLER BEARING AT 1825 ZOH,,,,,,,,,,,,,0,,,903712,
"BEARING, BALL SINGLE ROE, SKF 6310",,,,,,,,,,,,,0,,,903361,
"KEY, 10x8x60",,,,,,,,,,,,,0,,,00051037 0,
"gasket, fly end",,,,,,,,,,,,,0,,,00043198 0,
"cover, fly end",,,,,,,,,,,,,0,,,00031777 0,
"PIN, GUDGEON, DIA 20",,,,,,,,,,,,,0,,,,
"RING, STEPPED COMPRESSION, DIA 100",,,,,,,,,,,,,0,,,,
"RING, TAPER PLAIN COMPRESSION, DIA 100",,,,,,,,,,,,,0,,,,
GASKET CRAKCASE TO DIA 100 CYL 0.8,,,,,,,,,,,,,0,,,00041004 C,
PIPE NIPPLE,,,,,,,,,,,,,0,,,02049718 0,
ELBOW ASSY 1'' BSP,,,,,,,,,,,,,0,,,02049678 0,
ELBOW ASSY 7/8'',,,,,,,,,,,,,0,,,02049679 0,
"CIRCLIP, INTERNAL B 18",,,,,,,,,,,,,0,,,,
"GUDGEON PIN, DIA 18",,,,,,,,,,,,,0,,,,
"RING, STEPPED COMPRESSION, ",,,,,,,,,,,,,0,,,,
"RING,  PIAIN COMPRESSION, ",,,,,,,,,,,,,0,,,,
"GASKET, CRANKCASE, DIA 70 CYL. 0.75",,,,,,,,,,,,,0,,,00041002 A,
"CYLINDER, DIA 70",,,,,,,,,,,,,0,,,210020,
"VALVE, FINGER TYPE, DIA 70 CYLINDER",,,,,,,,,,,,,0,,,00031004 0,
PIPE DAMPENING,,,,,,,,,,,,,0,,,02049692 0,
"VALVE ASSY, DRAIN, 1/4'' BSP",,,,,,,,,,,,,0,,,A020045,
"SAFETY VALVE ASSY, 3/8'' BSP",,,,,,,,,,,,,0,,,A02002,
BUSH,,,,,,,,,,,,,0,,,00043218 0,
NRV AND CONNECTING ASSY,,,,,,,,,,,,,0,,,A020570,
